x,y,z,s,t
43.708610696262625,266.61963595475765,3.355351153623154,204.84517852764978,220.0531233526158
95.56428757689245,587.7108526405223,3.2228091916479986,424.19675861285543,757.525090247929
75.87945476302646,885.6512522887674,9.15629122468933,575.0966796506561,777.4754946463567
63.8792635777333,759.0023977686051,3.245915798645555,363.46886885407065,595.3579548830994
24.041677639819287,825.9050330753048,3.447547535157679,258.06516905845274,465.6429531300628
24.03950683025824,692.9050300396456,7.8345843617616735,343.4590695299641,412.302056697633
15.227525095137953,723.0489080660673,5.04765858205486,231.8068548346699,408.23822816107497
87.95585311974416,864.2760864087874,7.990395012596631,574.322702700329,854.6906772237566
64.1003510568888,324.70120797326734,1.588295418079467,272.2851283835957,375.0884382177152
73.7265320016441,540.4824672788264,5.388140743060458,379.53784123384725,575.91334586275
11.85260448662222,299.08849763764204,1.3025224016495436,108.41094078964838,179.00796859321855
97.29188669457949,988.9012071969823,1.5638788310981906,504.5470962620696,966.433180333737
84.91983767203796,949.653405717952,9.157937080099698,615.0626717207443,878.9352010764945
29.110519961044854,135.4841302316553,2.2532083400583565,132.34281958912607,121.4428869604039
26.364247048639054,735.0176552641196,5.791786140476954,288.46724601417947,429.31695053433145
26.506405886809045,932.7234856740993,4.699860423406359,300.24207560768383,525.0201160171373
37.381801866358394,262.5178106146002,4.126089936329584,190.36826353422555,202.27067544024524
57.228078846901404,611.1507074973665,9.098500111185452,462.6849813858043,485.99338584333077
48.87505167779042,923.9394678292376,1.1964105709794055,343.58316937922876,565.3033733911418
36.21062261782377,130.55138072721897,6.9741071755803015,238.39096478161517,142.53229829346358
65.06676052501416,727.6782405221559,9.670549907921954,525.3419492507936,608.967634166273
22.554447458683764,367.6141066352957,6.041513651156578,211.79267773208426,242.85957797920972
36.29301836816963,931.9565758388774,9.431402158297827,473.1068221245382,550.7595856650906
42.97256589643225,973.952420648831,1.470320913574214,337.9814349039442,565.417985374075
51.046298579533236,949.8398402020905,4.769139871667452,378.6123530068975,601.0324739965973
80.66583652537122,526.7927949917174,3.3414201186584602,367.70124307201655,618.3192207273233
27.970640394252378,875.8383858903821,7.577388684826568,383.53315108549776,506.5242558039269
56.28109945722505,860.0944586815633,9.83167381447522,530.2282047473662,605.7359784529714
63.31731119758382,387.1904259189301,3.30877056199823,287.6219413546815,404.94615444749286
14.180537144799796,846.0239267356096,6.88757141326667,312.3062471280783,473.49620947055973
64.67903667112945,133.30687124394336,2.7828786948376614,239.69801532628338,287.84435478185304
25.347171131856236,636.6428906338477,6.087972291144489,275.55714966332954,380.11539062809635
15.854643368675156,307.00795355893274,5.175392380195026,153.58774235085124,201.5964882708248
95.39969835279999,208.51019719955093,9.748047966683833,514.7733240328811,586.2556189217216
96.90688297671034,169.25788146628824,6.476745454268199,410.3922262846685,568.3506211326123
82.7557613304815,726.6598982903258,4.145557348781369,419.5344901165975,736.441174984733
37.41523922560336,405.8874673912595,2.0268620639914,210.6174724760814,267.7276112851614
18.79049026057455,752.2900943758854,2.361221458614411,225.0156557929097,419.9401406760147
71.58097238609412,158.82070671904813,3.0278523695611157,265.97779046984726,360.03543180680094
49.61372443656412,383.7613040475493,3.258699952062682,245.66328676056716,305.34956617798184
20.983441136030095,585.5421631378035,8.65554452057024,336.85150505771753,358.03383823850686
54.56592191001432,811.6508483550672,6.051005094542724,396.9562629113576,558.1378737612295
