K11,K12,K13,K14,K15,K16,K21,K22,K23,K24,K25,K26,K31,K32,K33,K34,K35,K36,K41,K42,K43,K44,K45,K46,K51,K52,K53,K54,K55,K56,K61,K62,K63,K64,K65,K66,F1,F2,F3,F4,F5,F6
77.62164880704037,44.448965535453176,86.00119407122686,70.03943487687702,10.323557440877304,97.58661281203884,76.35283049704495,78.82036622241843,13.683249634879042,45.588207851661146,37.709004399025545,92.74973389601158,64.74264688798579,82.45339971381216,44.89800568390578,23.496633456692912,55.90389391456765,7.317908354313357,82.93548602726563,63.53477551308442,76.05068626845201,36.09807084485697,97.09910441509543,89.41899101089757,78.05996621030242,20.26923207734479,47.20537936897638,5.336572812935649,16.274659714687235,68.621846371003,74.7314534348739,96.78346351098679,33.256710455677045,37.67551089745202,47.48602531630498,19.757664549344284,1341.818365675755,1202.4395686243608,781.7569168928176,1604.5588473790808,774.665236523118,874.7466692912773
13.862229028211694,48.09478769636744,23.464025556037527,67.31158547356853,44.278039968360744,83.4351414097259,70.32624509822266,31.924297496822067,83.39372033812491,80.67167139218338,39.36035952398727,29.544482289094166,68.56705489352257,14.835495877321671,20.790912045035725,1.7288647053495456,78.9055133727117,66.82023480261118,70.81137248400718,78.29217407117483,46.43266177829565,57.30537839933648,14.839902814638087,12.33847728006137,67.1718932172567,47.63852440817012,56.958374541637696,76.73488688418654,63.83711368005849,55.80436066514159,56.361508913795944,31.091059708198607,4.050965622226001,44.23502153400388,22.24388260913339,41.44433572873898,1171.6912712834924,1081.1113780294766,962.9752172838969,744.1455973121484,1294.275345586398,667.5220387509875
85.48690425354845,24.160009100668734,6.771971427217536,28.85700531017766,30.06578201890168,66.52973495796262,56.14618308178655,78.60592270153494,66.76704049241137,41.232299282566984,81.58801808193743,17.53031907086269,3.248495240252187,9.914738216788534,72.51357570904858,46.72584579488735,16.96590612432658,50.60343273523299,16.078898168603672,69.93571713269587,45.16947128182904,38.72110138355177,30.849696825639775,63.397976718769954,36.81944844478565,9.677342012293998,12.682584309931016,96.22786879040194,90.9494883800531,70.27100624726421,27.32112618449244,96.94846135742466,78.09633949261367,71.97212872674056,45.486788712235075,27.951914622670742,819.0581778195333,1091.7103519272218,815.9722090135552,980.9794962545083,1355.5068399446252,1138.541013581345
10.54270525319643,90.35763725784032,46.121852693527494,21.0339731147278,31.2897057909146,58.342737325247704,18.50050551098394,85.80481412514517,76.0934334536858,72.22683263914274,43.77721093773527,63.103575229541875,58.82569892236082,65.33481355392718,9.35998779284902,42.164932814890356,5.119803212327355,49.905091105207376,33.656260020945744,15.307894697738643,11.236893804532613,59.17681264559349,17.888703885151724,92.58689171930293,58.5250528303391,35.34011064894887,59.500633656660256,3.2575832319400524,95.89736211090309,48.74804025734712,78.49078749777834,9.190269992321419,49.17917475297787,49.57999244109757,93.8448190425233,57.60107718523146,920.2643832144299,1304.8052707448303,711.2645833612048,979.654851153971,1092.712560124576,1257.5593798297502
47.875450704638425,27.430590646097464,33.82533073691267,52.546567844682244,44.45223457019962,3.139595908152712,82.80290049524143,89.71991641213691,14.884659810862466,55.84957821036589,11.748998372408911,67.55176921094136,28.842144600061825,66.28284083449827,72.97246681440137,77.09610169984805,11.66635364963376,91.68517266862318,23.7911850985932,4.703843061441798,55.930394469756855,37.72130610238143,83.1491845701089,81.01689573436587,32.39675038944882,95.33704011190476,29.800865975871744,51.99065579393974,26.340543966192673,93.66831343484736,17.296173940619795,5.4461513198405695,44.074608940300756,99.24518084152787,89.27604935923648,75.11219392623798,655.4976438862147,994.3506327212589,1297.1524377715627,1253.722576297013,1214.1486521566799,1454.446437120925
89.18845659697396,89.45121733008845,52.36697767825846,32.2769761312485,77.42923077898782,66.50446505360834,37.9921151584973,10.352200138090012,74.93217152355358,26.983591076363602,93.74450190284415,24.856086925562792,13.153035308737117,83.28015454036571,16.17514734582491,18.74756250761617,60.33889636056351,87.58164204290898,20.44703190574275,31.72204361710938,77.96307898587658,97.21081618003576,50.57337743403189,15.245852752573827,2.379692483111953,23.73594696988667,14.050399560865582,68.08820868767289,13.061417958224581,51.12666323044267,69.73198112864576,58.53054431286933,20.777789514345706,80.608328092044,71.82530583196437,74.15941638763863,1340.4726730335094,1009.2864253783899,1130.4133705176794,1050.9656245033368,736.4226890299525,1375.6427781512512
13.974717404174012,13.251626561384116,92.82869254964426,40.36024118866912,30.793920486313034,49.369820489801796,66.62355706359466,95.60670244765002,29.358176461323445,92.55603450189068,3.4610896472393753,55.964606190355646,63.76353605642743,11.483842971324576,14.893620109327351,42.49231761231408,96.656959302175,60.00821277020291,93.36929893842091,80.6317306456841,47.27077855397386,78.69158147596656,2.765841613721786,11.80525567980776,83.11343287339089,79.88489174419101,24.031433454676936,53.5461894693063,60.99556624930108,86.90615642382511,60.70760857653384,41.84458535809435,38.044220297311085,43.162326550977475,65.54117153241744,86.88157254348016,930.5935383009275,1069.2287147287584,1144.7154259084075,795.8721639430324,1355.5770443924848,1280.1740393115338
45.93579132555367,25.536116732184453,24.429573936760534,74.8554137441012,81.84030757896713,11.42252990555837,7.589326838562638,59.84893271188873,15.47115117507713,82.6417548551778,31.72313271848337,15.243321364143123,92.17607677625757,17.38764055079254,29.18728815145562,16.207726124013803,12.433516302870142,3.0936536173075635,6.484145507261751,18.28950562264942,6.284811330090363,59.52323779498615,68.39073815315113,39.9694152263708,32.48111859825289,50.94809746520078,87.62548928122625,85.2620310553984,5.304031139266402,18.968342550055883,24.437742239335204,25.68937000738897,57.552032522534496,42.20998014461603,5.876157872831804,37.98779970749759,947.455118904795,754.3432569855582,360.07363004646083,881.7807240467569,878.6321165905941,674.6200880093253
52.851541923046085,11.06551838746788,83.51239682506741,6.144224780045321,92.55934503278814,10.812201016407673,84.51392020817752,90.36266124883409,97.97749737807267,80.40056214708576,78.16827653636156,64.60584432355921,78.12063910323477,14.32066863290156,54.07073555881609,51.90806414885103,85.89964226813319,46.81713719375807,39.123860113934995,64.3167638524739,27.37986843258376,14.837072684441729,48.30985012835083,42.27204749089362,24.024424112358496,37.38366920139767,37.272852532798495,33.422060876842,38.566943892965966,68.88859120013859,30.390770982557246,94.9369347448187,91.71845393427961,48.61013240170778,33.50775929546419,54.00804419317031,877.766599555752,1659.25043205157,1187.0074741441047,804.426819441517,950.4648302865787,1181.4475935182072
85.00748838858883,65.6061467154501,80.63479096676066,53.73950533050828,63.65884529749445,29.52740580406371,73.7544230687188,21.038054719446116,69.78501475303132,86.21118776426351,14.07818089285285,61.82359431365006,10.414479074763527,72.84584719887125,9.364828663528503,93.65804244736198,14.603385073742414,95.92914434499896,80.28753343242457,59.774518442169054,78.47978635832514,79.7163690593255,94.6566792189157,26.08495203007953,59.417513640472606,10.40987055887572,62.000404302388006,17.957839105186093,56.930110535771746,57.67062088935112,47.13253014514151,52.740545775799156,76.62841561065221,80.1252269346946,49.72316834196749,60.359750710738616,1168.5408373536586,1111.3627981699237,1207.4246206912453,1383.9345139040956,968.744102101098,1313.774122241744
